http://dbpedia.org/ontology/SportsTeamMember,http://dbpedia.org/ontology/squadNumber
List of Chinese football transfers winter 2012,4
List of Estonian football transfers winter 2012–13,26
Al Sadd SC (handball),1
1999–2000 Blackpool F.C. season,30
Elencos da Copa do Mundo de Clubes da FIFA de 2013,3
2010 FIFA Club World Cup squads,2
List of Bulgarian football transfers summer 2013,23
2010–11 Tigres UANL season,19
2014–15 Grimsby Town F.C. season,27
List of German football transfers summer 2009,2
List of Russian football transfers summer 2013,60
Sportsklubben Brann 2006,23
List of Chinese football transfers winter 2013,5
2014 Indonesian Inter Island Cup qualification squads,96
Laguna Football Club,10
List of Bosnia and Herzegovina football transfers summer 2012,15
Al Sadd Handball Team,3
2010–11 Club Universidad Nacional season,3
Maybank HC,16
List of German football transfers summer 2008,25
2010–11 Club Universidad Nacional season,26
New Mexico Lobos men's soccer,6
Manchester City Football Club 2000-2001,2
