http://dbpedia.org/ontology/Weapon,http://dbpedia.org/ontology/length
Ruger SR-556,0.83185
Ruger SR-556,0.83185
超級矮子霰彈槍,0.419
Serbu Super-Shorty,0.419
Tanfoglio TA 95,0.21
Tanfoglio T95,0.21
Typ 96 Multi-Purpose Missile System,2.0
96式多目的誘導弾システム,2.0
Type 96 Multi-Purpose Missile System,2.0
ВЕПР,5.3
VEPR,5.3
AAC Honey Badger,0.6096
AAC蜜獾式PDW突擊步槍,0.6096
AAC Honey Badger PDW,0.6096
M-63 Plamen,3.68
M-63 Plamen,3.68
M-63 Plamen,3.68
Alecto (SPG),4.2672
Alecto,4.2672
Alecto (artillerie),4.2672
アレクト自走砲,4.2672
Алекто (САУ),4.2672
阿萊克托自行火炮,4.2672
Revólver Apache,0.10922
Apache revolver,0.10922
Apache revolver,0.10922
アパッチ・リボルバー,0.10922
Pistola Ballester-Molina,0.288
Ballester–Molina,0.288
バジェステル＝モリナ,0.288
Pistolet Ballester-Molina,0.288
Ballester-Molina,0.288
Brügger & Thomet MP9,0.303
MP9,0.303
Brügger & Thomet MP9,0.303
Pistolet maszynowy Brügger-Thomet MP9,0.303
B&T MP9戰術衝鋒槍,0.303
Brügger & Thomet MP9,0.303
KGP-9,0.355
KGP-9,0.355
FEG KGP-9,0.355
Pistolet maszynowy KGP-9,0.355
KGP-9,0.355
KGP-9衝鋒槍,0.355
Kanta (shield),1.1
Keiler (Panzer),10.7
Keiler,10.7
Keiler (mine flail),10.7
Kucher Model K1,0.844
Kucher Model K1,0.844
لاهات,0.975
LAHAT,0.975
LAHAT,0.975
IMI LAHAT,0.975
LAHAT,0.975
LAHAT (ミサイル),0.975
LAHAT,0.975
LAHAT,0.975
拉哈特反坦克飛彈,0.975
Lazar BVT,7.25
Lazar BVT-SR-8808,7.25
Lazar BVT,7.25
Mfezi Ambulance,6.56
Mine Protected Combat Vehicle,4.95
نودلمان-ريختر إن.أر-23,1.98
Nudelman-Rikhter NR-23,1.98
Nudelman-Richter NR-23,1.98
Nudelman-Rikhter NR-23,1.98
Nudelman-Rikhter NR-23,1.98
NR-23 (機関砲),1.98
Działko NR-23,1.98
НР-23,1.98
NR-23機炮,1.98
نودلمان-ريختر إن.أر-30,2.153
Nudelman-Rikhter NR-30,2.153
Nudelman-Richter NR-30,2.153
Nudelman-Rikhter NR-30,2.153
